Date,series,OPEN,HIGH,LOW,PREV.CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,Nooftrades,close_infosys,values,company,close_TCS,close_wipro ,close_Mindtree 
17-Aug-20,EQ,711.1,720.8,709.25,709.1,719,718.85,715.87,"1,170.00",375.25,3344102,"2,393,926,077.30",86749,953.6,,,"2,253.40",281.95,"1,163.40"
14-Aug-20,EQ,727.9,727.9,707.25,724.6,708.95,709.1,715.41,"1,170.00",375.25,3887303,"2,781,032,992.30",65815,951.2,,,"2,242.15",276.5,"1,135.95"
13-Aug-20,EQ,717,729,713.05,717.1,718.55,724.6,723.6,"1,170.00",375.25,8850424,"6,404,185,126.95",105881,954.95,,,"2,254.45",277,"1,149.30"
12-Aug-20,EQ,680.6,719,677.05,683.8,715.65,717.1,704.18,"1,170.00",375.25,13085422,"9,214,491,849.10",154176,948.45,,,"2,257.35",276.2,"1,133.30"
11-Aug-20,EQ,694,700.95,681.5,692.05,684,683.8,690.04,"1,170.00",375.25,3956472,"2,730,127,036.50",55301,951.35,,,"2,279.90",279.65,"1,116.75"
10-Aug-20,EQ,694.95,694.95,685.1,690.3,693.25,692.05,690.25,"1,170.00",375.25,3769575,"2,601,948,470.75",55235,950.9,,,"2,282.80",277.4,"1,142.20"
7-Aug-20,EQ,699.9,699.9,685,704.9,689.9,690.3,691.26,"1,170.00",375.25,7371589,"5,095,682,983.85",96981,970.85,,,"2,295.35",277.4,"1,152.25"
6-Aug-20,EQ,692,707.6,686.4,688.4,703.4,704.9,699.71,"1,170.00",375.25,5133012,"3,591,600,807.65",69136,944.7,,,"2,308.10",279.65,"1,142.75"
5-Aug-20,EQ,692.65,702.4,681,692.65,689.5,688.4,691.03,"1,170.00",375.25,6052234,"4,182,298,931.70",92508,949.85,,,"2,259.50",278.2,"1,140.30"
4-Aug-20,EQ,709.5,711,687.05,705.95,692.5,692.65,693.47,"1,170.00",375.25,6683186,"4,634,576,579.45",127895,956.9,,,"2,249.70",281.05,"1,125.90"
3-Aug-20,EQ,709.1,718,700.55,705.2,707.7,705.95,707.54,"1,170.00",375.25,5546348,"3,924,282,897.80",102748,966,,,"2,254.15",281.55,"1,126.95"
31-Jul-20,EQ,701.85,716.7,696,695.45,706,705.2,707.58,"1,170.00",375.25,6322672,"4,473,786,956.25",115232,961.45,,,"2,281.40",280.95,"1,083.40"
30-Jul-20,EQ,698,712.55,692.65,694.4,696,695.45,704.44,"1,170.00",375.25,7966921,"5,612,223,034.45",138161,954.15,,,"2,279.50",284.1,"1,083.80"
29-Jul-20,EQ,710,710.75,692.5,712.45,694.4,694.4,698.86,"1,170.00",375.25,7142688,"4,991,707,650.85",121239,962.85,,,"2,276.05",277,"1,062.75"
